id,value,type,tipoprocedimento,url,isTributario,date
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1980,O 104/1980,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1980%3A104,TRIBUTARIO,1980-06-19
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1984,S 104/1984,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1984%3A104,TRIBUTARIO,1984-04-06
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1985,S 104/1985,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1985%3A104,TRIBUTARIO,1985-04-16
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1987,O 104/1987,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1987%3A104,TRIBUTARIO,1987-03-26
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/2019,O 104/2019,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2019%3A104,TRIBUTARIO,2019-03-20
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/2020,O 104/2020,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2020%3A104,TRIBUTARIO,2020-05-05
https://dati.cortecostituzionale.it/ontology/Pronuncia/1043/1988,S 1043/1988,S,GIUDIZIO PER CONFLITTO DI ATTRIBUZIONE TRA ENTI,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1043,TRIBUTARIO,1988-11-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/1046/1988,O 1046/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1046,TRIBUTARIO,1988-11-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/105/1975,S 105/1975,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1975%3A105,TRIBUTARIO,1975-04-24
https://dati.cortecostituzionale.it/ontology/Pronuncia/105/1991,S 105/1991,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA PRINCIPALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1991%3A105,TRIBUTARIO,1991-02-27
https://dati.cortecostituzionale.it/ontology/Pronuncia/105/2003,S 105/2003,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2003%3A105,TRIBUTARIO,2003-03-26
https://dati.cortecostituzionale.it/ontology/Pronuncia/1051/1988,O 1051/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1051,TRIBUTARIO,1988-11-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/1052/1988,O 1052/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1052,TRIBUTARIO,1988-11-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/1058/1988,O 1058/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1058,TRIBUTARIO,1988-11-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/106/1969,S 106/1969,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1969%3A106,TRIBUTARIO,1969-06-19
https://dati.cortecostituzionale.it/ontology/Pronuncia/1067/1988,S 1067/1988,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1067,TRIBUTARIO,1988-11-24
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/1969,S 107/1969,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1969%3A107,TRIBUTARIO,1969-06-19
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/1971,S 107/1971,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1971%3A107,TRIBUTARIO,1971-05-19
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/1990,O 107/1990,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1990%3A107,TRIBUTARIO,1990-02-21
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/1994,S 107/1994,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1994%3A107,TRIBUTARIO,1994-03-23
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/1995,S 107/1995,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1995%3A107,TRIBUTARIO,1995-03-23
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/2003,O 107/2003,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2003%3A107,TRIBUTARIO,2003-03-26
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/2006,S 107/2006,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2006%3A107,TRIBUTARIO,2006-03-08
https://dati.cortecostituzionale.it/ontology/Pronuncia/107/2007,O 107/2007,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2007%3A107,TRIBUTARIO,2007-03-19
